Name,id,Start,End,URL,Free
One Team Mini Scavenger Hunt Adventure: Ann Arbor,39384495085,2017-11-09 07:00:00,2017-11-09 19:00:00,https://www.eventbrite.com/e/one-team-mini-scavenger-hunt-adventure-ann-arbor-tickets-39384495085?aff=ebapi,False
Mentoring Forum 2017,37093772472,2017-11-09 08:30:00,2017-11-09 10:30:00,https://www.eventbrite.com/e/mentoring-forum-2017-registration-37093772472?aff=ebapi,True
Ypsilanti Fall Blitz ,38772673109,2017-11-09 09:00:00,2017-11-09 17:00:00,https://www.eventbrite.com/e/ypsilanti-fall-blitz-tickets-38772673109?aff=ebapi,True
Small Business at MWSE-Washtenaw ,37320354184,2017-11-09 10:00:00,2017-11-09 11:00:00,https://www.eventbrite.com/e/small-business-at-mwse-washtenaw-tickets-37320354184?aff=ebapi,True
Woolfolk Fall 2017 Collection Trunk Show,39467659833,2017-11-09 10:00:00,2017-11-09 18:00:00,https://www.eventbrite.com/e/woolfolk-fall-2017-collection-trunk-show-tickets-39467659833?aff=ebapi,True
Crochet Flower Scarf - Beginner Crochet Project!,39362299698,2017-11-09 11:00:00,2017-11-09 14:00:00,https://www.eventbrite.com/e/crochet-flower-scarf-beginner-crochet-project-tickets-39362299698?aff=ebapi,True
Resume Critique at MWSE-Washtenaw,36552977941,2017-11-09 11:30:00,2017-11-09 13:00:00,https://www.eventbrite.com/e/resume-critique-at-mwse-washtenaw-tickets-36552977941?aff=ebapi,True
Full-Time MBA - Admissions Visit in Person,35144518200,2017-11-09 12:30:00,2017-11-09 16:30:00,https://www.eventbrite.com/e/full-time-mba-admissions-visit-in-person-tickets-35144518200?aff=ebapi,True
  Mastering the Art of Highly Successful Conversational Selling -  Free Webinar MasterClass (Networking and Business),39508901187,2017-11-09 13:00:00,2017-11-09 14:15:00,https://www.eventbrite.com/e/mastering-the-art-of-highly-successful-conversational-selling-free-webinar-masterclass-networking-tickets-39508901187?aff=ebapi,True
B+I November Workshop,38868291105,2017-11-09 18:00:00,2017-11-10 17:00:00,https://www.eventbrite.com/e/bi-november-workshop-tickets-38868291105?aff=ebapi,True
CLARA Pilot Workshop - Making Peace with our Words,39040171203,2017-11-09 18:00:00,2017-11-09 20:00:00,https://www.eventbrite.com/e/clara-pilot-workshop-making-peace-with-our-words-tickets-39040171203?aff=ebapi,False
Erb Director's Happy Hour ,39023687901,2017-11-09 18:00:00,2017-11-09 20:00:00,https://www.eventbrite.com/e/erb-directors-happy-hour-tickets-39023687901?aff=ebapi,True
"Ann Arbor, MI- Intro To Forex Trading",38462301780,2017-11-09 19:00:00,2017-11-09 19:30:00,https://www.eventbrite.com/e/ann-arbor-mi-intro-to-forex-trading-tickets-38462301780?aff=ebapi,True
Appropriate Technology Collaborative Annual Fundraiser,39191497825,2017-11-09 19:00:00,2017-11-09 21:00:00,https://www.eventbrite.com/e/appropriate-technology-collaborative-annual-fundraiser-tickets-39191497825?aff=ebapi,True
University of Michigan Diwali Jaher Sabha,39572621777,2017-11-09 19:00:00,2017-11-09 21:00:00,https://www.eventbrite.com/e/university-of-michigan-diwali-jaher-sabha-tickets-39572621777?aff=ebapi,True
YASSIR CHEDIAK Amazing Brazil's 12 String Viola Player,39400319416,2017-11-09 19:00:00,2017-11-09 21:00:00,https://www.eventbrite.com/e/yassir-chediak-amazing-brazils-12-string-viola-player-tickets-39400319416?aff=ebapi,True
"Coached Swimming Workouts - Fall 2017 T,Th",37212972001,2017-11-09 20:00:00,2017-11-09 21:00:00,https://www.eventbrite.com/e/coached-swimming-workouts-fall-2017-tth-registration-37212972001?aff=ebapi,False
Christian Martin x Desert Hearts at Necto,36783003955,2017-11-09 21:00:00,2017-11-10 01:00:00,https://www.eventbrite.com/e/christian-martin-x-desert-hearts-at-necto-tickets-36783003955?aff=ebapi,False
"Tricks & Tips - Improve Your Swimming Strokes, Fall 2017 T,Th",37133869403,2017-11-09 21:00:00,2017-11-09 22:00:00,https://www.eventbrite.com/e/tricks-tips-improve-your-swimming-strokes-fall-2017-tth-registration-37133869403?aff=ebapi,False
"Venture Well Hacking Health Design Charrette, Nov 10-11",38116474401,2017-11-10 08:00:00,2017-11-11 18:00:00,https://www.eventbrite.ca/e/venture-well-hacking-health-design-charrette-nov-10-11-tickets-38116474401?aff=ebapi,True
Job Search Bootcamp,39292427709,2017-11-10 09:00:00,2017-11-10 11:00:00,https://www.eventbrite.com/e/job-search-bootcamp-tickets-39292427709?aff=ebapi,False
TABE at MWSE-Washtenaw ,36590015722,2017-11-10 09:00:00,2017-11-10 12:00:00,https://www.eventbrite.com/e/tabe-at-mwse-washtenaw-tickets-36590015722?aff=ebapi,True
16th Annual Pathology Research Symposium,36894515489,2017-11-10 09:00:00,2017-11-10 17:00:00,https://www.eventbrite.com/e/16th-annual-pathology-research-symposium-tickets-36894515489?aff=ebapi,True
Woolfolk Fall 2017 Collection Trunk Show,39467656824,2017-11-10 10:00:00,2017-11-10 18:00:00,https://www.eventbrite.com/e/woolfolk-fall-2017-collection-trunk-show-tickets-39467656824?aff=ebapi,True
Faculty Inclusive Teaching Keynote: Dr. Chavella Pittman Presentation,39186659353,2017-11-10 11:00:00,2017-11-10 12:30:00,https://www.eventbrite.com/e/faculty-inclusive-teaching-keynote-dr-chavella-pittman-presentation-tickets-39186659353?aff=ebapi,True
Unforgettable Kettle Kick Off Featuring Laith al Saadi,39665871690,2017-11-10 11:00:00,2017-11-10 14:00:00,https://www.eventbrite.com/e/unforgettable-kettle-kick-off-featuring-laith-al-saadi-tickets-39665871690?aff=ebapi,True
Michigan Ross Master of Accounting Preview Day,38715711736,2017-11-10 12:00:00,2017-11-10 18:30:00,https://www.eventbrite.com/e/michigan-ross-master-of-accounting-preview-day-registration-38715711736?aff=ebapi,True
Michigan Engineering North Campus Tour,36443552647,2017-11-10 14:00:00,2017-11-10 16:30:00,https://www.eventbrite.com/e/michigan-engineering-north-campus-tour-registration-36443552647?aff=ebapi,True
Ross BBA High School Student Information Session,36855528879,2017-11-10 14:00:00,2017-11-10 15:30:00,https://www.eventbrite.com/e/ross-bba-high-school-student-information-session-registration-36855528879?aff=ebapi,True
Let’s Taco Bout Tech:  Engineering Team “Speed” Roundtable discussions,39225555693,2017-11-10 16:00:00,2017-11-10 18:00:00,https://www.eventbrite.com/e/lets-taco-bout-tech-engineering-team-speed-roundtable-discussions-tickets-39225555693?aff=ebapi,True
Ambassadors of Song - International Male Chorus Symposium,31097525536,2017-11-10 19:00:00,2017-11-11 23:00:00,https://www.eventbrite.com/e/ambassadors-of-song-international-male-chorus-symposium-tickets-31097525536?aff=ebapi,False
Soul Flow Vinyasa at Center for Yoga (11/10),38600481078,2017-11-10 20:00:00,2017-11-10 21:00:00,https://www.eventbrite.com/e/soul-flow-vinyasa-at-center-for-yoga-1110-tickets-38600481078?aff=ebapi,False
Hereditary Colon Cancer Family Day,36749968144,2017-11-11 07:30:00,2017-11-11 15:00:00,https://www.eventbrite.com/e/hereditary-colon-cancer-family-day-tickets-36749968144?aff=ebapi,False
Men's Fellowship Breakfast,38843651407,2017-11-11 09:00:00,2017-11-11 11:30:00,https://www.eventbrite.com/e/mens-fellowship-breakfast-registration-38843651407?aff=ebapi,True
Sun & Snow Sports: November Ski Swap,37983732366,2017-11-11 09:00:00,2017-11-11 18:00:00,https://www.eventbrite.com/e/sun-snow-sports-november-ski-swap-tickets-37983732366?aff=ebapi,True
Woolfolk Fall 2017 Collection Trunk Show,39467655821,2017-11-11 09:00:00,2017-11-11 18:00:00,https://www.eventbrite.com/e/woolfolk-fall-2017-collection-trunk-show-tickets-39467655821?aff=ebapi,True
A2F2 Event: Used Camera Buyer On-Site - Sell Your Photo Gear,39132804271,2017-11-11 09:30:00,2017-11-11 15:30:00,https://www.eventbrite.com/e/a2f2-event-used-camera-buyer-on-site-sell-your-photo-gear-tickets-39132804271?aff=ebapi,True
A2F2: The Ann Arbor Foto Fest,38856393519,2017-11-11 09:30:00,2017-11-11 16:00:00,https://www.eventbrite.com/e/a2f2-the-ann-arbor-foto-fest-tickets-38856393519?aff=ebapi,True
A2F2 Event: Frame it Like a Pro: Landscapes and Cityscapes by Bryan Minear ,39482146162,2017-11-11 10:00:00,2017-11-11 11:30:00,https://www.eventbrite.com/e/a2f2-event-frame-it-like-a-pro-landscapes-and-cityscapes-by-bryan-minear-tickets-39482146162?aff=ebapi,True
A2F2 Event: $30 On-Site Sensor Cleanings by Midwest Camera Repair,39132653821,2017-11-11 10:00:00,2017-11-11 15:30:00,https://www.eventbrite.com/e/a2f2-event-30-on-site-sensor-cleanings-by-midwest-camera-repair-tickets-39132653821?aff=ebapi,True
Ann Arbor Vedanta Symposium,39494307537,2017-11-11 10:00:00,2017-11-11 16:00:00,https://www.eventbrite.com/e/ann-arbor-vedanta-symposium-tickets-39494307537?aff=ebapi,True
Donation YinYasa Yoga ,38166276360,2017-11-11 11:00:00,2017-11-11 12:00:00,https://www.eventbrite.com/e/donation-yinyasa-yoga-tickets-38166276360?aff=ebapi,True
"A2F2 Event: Shootout in the Alley with Sigma Lens Expert, Marc Farb",39129702995,2017-11-11 11:30:00,2017-11-11 13:00:00,https://www.eventbrite.com/e/a2f2-event-shootout-in-the-alley-with-sigma-lens-expert-marc-farb-tickets-39129702995?aff=ebapi,True
A2F2 Event: Travel Photography Photowalk ,39132544494,2017-11-11 12:00:00,2017-11-11 13:30:00,https://www.eventbrite.com/e/a2f2-event-travel-photography-photowalk-tickets-39132544494?aff=ebapi,True
Skatepark Clean-Up,37855990286,2017-11-11 12:00:00,2017-11-11 14:00:00,https://www.eventbrite.com/e/skatepark-clean-up-tickets-37855990286?aff=ebapi,True
"A2F2 Event: Capturing Life in the Streets - Olympus Visionary, Mike Boening",38684148329,2017-11-11 13:00:00,2017-11-11 15:00:00,https://www.eventbrite.com/e/a2f2-event-capturing-life-in-the-streets-olympus-visionary-mike-boening-tickets-38684148329?aff=ebapi,True
Rescuing Democracy:  A Community Conversation,38567565627,2017-11-11 13:00:00,2017-11-11 17:10:00,https://www.eventbrite.com/e/rescuing-democracy-a-community-conversation-tickets-38567565627?aff=ebapi,True
A2F2 Event: What's the buzz with the Fujifilm GFX? by Bryan Minear,39146286597,2017-11-11 14:00:00,2017-11-11 14:30:00,https://www.eventbrite.com/e/a2f2-event-whats-the-buzz-with-the-fujifilm-gfx-by-bryan-minear-tickets-39146286597?aff=ebapi,True
A2F2 Event: Which one is for me - the X-Pro2 or X-T2? by Bryan Minear,39147384882,2017-11-11 14:30:00,2017-11-11 15:00:00,https://www.eventbrite.com/e/a2f2-event-which-one-is-for-me-the-x-pro2-or-x-t2-by-bryan-minear-tickets-39147384882?aff=ebapi,True
A2F2 Event: What are my favorite Fujifilm X lenses? with X-er Bryan Minear,39147995709,2017-11-11 15:00:00,2017-11-11 15:30:00,https://www.eventbrite.com/e/a2f2-event-what-are-my-favorite-fujifilm-x-lenses-with-x-er-bryan-minear-tickets-39147995709?aff=ebapi,True
