Name,id,Start,End,URL,Free
3D Design Workshop - Tinkercad,37351264638,2017-11-09 17:30:00,2017-11-09 19:00:00,https://www.eventbrite.com/e/3d-design-workshop-tinkercad-tickets-37351264638?aff=ebapi,False
CCHM Speaker Series - Lex Tate,39354774189,2017-11-09 19:00:00,2017-11-09 20:00:00,https://www.eventbrite.com/e/cchm-speaker-series-lex-tate-tickets-39354774189?aff=ebapi,True
Veterans Day One on One,38228615819,2017-11-10 11:00:00,2017-11-10 13:00:00,https://www.eventbrite.com/e/veterans-day-one-on-one-tickets-38228615819?aff=ebapi,False
History Walk - Historic Clocks on the University of Illinois Campus,39355152320,2017-11-10 15:00:00,2017-11-10 17:00:00,https://www.eventbrite.com/e/history-walk-historic-clocks-on-the-university-of-illinois-campus-tickets-39355152320?aff=ebapi,False
10th Annual Harvest Gala,38498382699,2017-11-10 17:30:00,2017-11-10 22:00:00,https://www.eventbrite.com/e/10th-annual-harvest-gala-tickets-38498382699?aff=ebapi,False
SHPE Code2040 Info Session,39708223365,2017-11-10 18:00:00,2017-11-10 19:00:00,https://www.eventbrite.com/e/shpe-code2040-info-session-tickets-39708223365?aff=ebapi,True
2017 Champaign Stake Merit Badge Clinic,39506268312,2017-11-11 08:00:00,2017-11-11 15:00:00,https://www.eventbrite.com/e/2017-champaign-stake-merit-badge-clinic-registration-39506268312?aff=ebapi,True
Walk-up Workshop with Cracked Glass ,39370140149,2017-11-11 08:00:00,2017-11-11 13:00:00,https://www.eventbrite.com/e/walk-up-workshop-with-cracked-glass-tickets-39370140149?aff=ebapi,True
Planing Seeds: Helping Young Children Bloom & Grow!,39241726059,2017-11-11 09:00:00,2017-11-11 15:00:00,https://www.eventbrite.com/e/planing-seeds-helping-young-children-bloom-grow-registration-39241726059?aff=ebapi,True
#3dprinting party for a Birthday!,36798778136,2017-11-11 14:00:00,2017-11-11 16:00:00,https://www.eventbrite.com/e/3dprinting-party-for-a-birthday-tickets-36798778136?aff=ebapi,False
Thai Cooking: Pad Kee Mao,39166609383,2017-11-11 15:00:00,2017-11-11 17:00:00,https://www.eventbrite.com/e/thai-cooking-pad-kee-mao-tickets-39166609383?aff=ebapi,False
Cooking 101: Squash City,39166674578,2017-11-12 12:00:00,2017-11-12 13:00:00,https://www.eventbrite.com/e/cooking-101-squash-city-tickets-39166674578?aff=ebapi,False
Raising the Barre,33411333197,2017-11-12 14:30:00,2017-11-12 17:00:00,https://www.eventbrite.com/e/raising-the-barre-tickets-33411333197?aff=ebapi,False
Songs of Gratitude,37078593070,2017-11-12 19:30:00,2017-11-12 21:30:00,https://www.eventbrite.com/e/songs-of-gratitude-tickets-37078593070?aff=ebapi,False
"Big Data and Hadoop Training in Champaign, IL",30727172801,2017-11-14 09:30:00,2017-11-17 17:30:00,https://www.eventbrite.com/e/big-data-and-hadoop-training-in-champaign-il-tickets-30727172801?aff=ebapi,False
Forming Fossils,38746373446,2017-11-14 17:00:00,2017-11-14 19:00:00,https://www.eventbrite.com/e/forming-fossils-tickets-38746373446?aff=ebapi,False
IAAP Champaign-Urbana LAN - Mindfulness - Right Here Right Now,38594182238,2017-11-14 17:45:00,2017-11-14 19:15:00,https://www.eventbrite.com/e/iaap-champaign-urbana-lan-mindfulness-right-here-right-now-tickets-38594182238?aff=ebapi,False
